公司名称;股票代码;营业总收入(万元)
广东温氏食品集团股份有限公司;300498.SZ;5,565,716.01
上海梅林正广和股份有限公司;600073.SH;2,222,137.41
江西正邦科技股份有限公司;002157.SZ;2,061,492.23
唐人神集团股份有限公司;002567.SZ;1,373,522.23
辽宁禾丰牧业股份有限公司;603609.SH;1,369,584.35
湖南大康国际农业食品股份有限公司;002505.SZ;1,237,798.98
北京顺鑫农业股份有限公司;000860.SZ;1,173,384.32
牧原食品股份有限公司;002714.SZ;1,004,241.59
山东龙大肉食品股份有限公司;002726.SZ;657,262.58
雏鹰农牧集团股份有限公司;002477.SZ;569,820.44
福建傲农生物科技集团股份有限公司;603363.SH;490,266.01
浙江华统肉制品股份有限公司;002840.SZ;471,543.19
天康生物股份有限公司;002100.SZ;463,002.57
深圳市金新农科技股份有限公司;002548.SZ;306,135.40
天邦食品股份有限公司;002124.SZ;306,106.06
广东广弘控股股份有限公司;000529.SZ;230,588.45
山东得利斯食品股份有限公司;002330.SZ;160,865.75
湖南正虹科技发展股份有限公司;000702.SZ;134,840.41
罗牛山股份有限公司;000735.SZ;133,008.05
山东益生种畜禽股份有限公司;002458.SZ;65,640.49
