公司名称;股票代码;营业总收入(万元)
新希望六和股份有限公司;000876.SZ;6,256,684.86
广东温氏食品集团股份有限公司;300498.SZ;5,565,716.01
河南双汇投资发展股份有限公司;000895.SZ;5,057,832.63
广东海大集团股份有限公司;002311.SZ;3,255,663.41
江西正邦科技股份有限公司;002157.SZ;2,061,492.23
北京大北农科技集团股份有限公司;002385.SZ;1,874,173.86
唐人神集团股份有限公司;002567.SZ;1,373,522.23
辽宁禾丰牧业股份有限公司;603609.SH;1,369,584.35
湖南大康国际农业食品股份有限公司;002505.SZ;1,237,798.98
北京顺鑫农业股份有限公司;000860.SZ;1,173,384.32
牧原食品股份有限公司;002714.SZ;1,004,241.59
山东龙大肉食品股份有限公司;002726.SZ;657,262.58
雏鹰农牧集团股份有限公司;002477.SZ;569,820.44
浙江华统肉制品股份有限公司;002840.SZ;471,543.19
天康生物股份有限公司;002100.SZ;463,002.57
天邦食品股份有限公司;002124.SZ;306,106.06
深圳市农产品股份有限公司;000061.SZ;244,628.14
广东广弘控股股份有限公司;000529.SZ;230,588.45
山东得利斯食品股份有限公司;002330.SZ;160,865.75
西部金属材料股份有限公司;002149.SZ;155,908.98
湖南正虹科技发展股份有限公司;000702.SZ;134,840.41
罗牛山股份有限公司;000735.SZ;133,008.05
中捷资源投资股份有限公司;002021.SZ;100,244.91
山东益生种畜禽股份有限公司;002458.SZ;65,640.49
上海绿庭投资控股集团股份有限公司;600695.SH;5,006.81
