公司名称;股票代码;营业总收入(万元)
福耀玻璃工业集团股份有限公司;600660.SH;1,871,560.88
中国南玻集团股份有限公司;000012.SZ;1,087,940.07
中国巨石股份有限公司;600176.SH;865,154.92
株洲旗滨集团股份有限公司;601636.SH;758,500.41
中航三鑫股份有限公司;002163.SZ;460,393.69
山东金晶科技股份有限公司;600586.SH;435,382.79
凯盛科技股份有限公司;600552.SH;354,704.87
上海耀皮玻璃集团股份有限公司;600819.SH;327,342.72
江苏长海复合材料股份有限公司;300196.SZ;202,719.07
常州亚玛顿股份有限公司;002623.SZ;161,243.13
江苏秀强玻璃工艺股份有限公司;300160.SZ;137,778.89
洛阳北方玻璃技术股份有限公司;002613.SZ;113,398.30
江苏九鼎新材料股份有限公司;002201.SZ;99,421.61
山东华鹏玻璃股份有限公司;603021.SH;78,451.37
广东金刚玻璃科技股份有限公司;300093.SZ;60,054.86
