公司名称;股票代码;营业总收入(万元)
金发科技股份有限公司;600143.SH;2,313,737.79
金正大生态工程集团股份有限公司;002470.SZ;1,983,354.01
鲁西化工集团股份有限公司;000830.SZ;1,576,180.03
辽宁禾丰牧业股份有限公司;603609.SH;1,369,584.35
海南天然橡胶产业集团股份有限公司;601118.SH;1,081,832.27
湖北新洋丰肥业股份有限公司;000902.SZ;903,240.19
成都云图控股股份有限公司;002539.SZ;774,155.20
乐视网信息技术(北京)股份有限公司;300104.SZ;709,607.76
中粮生物化学(安徽)股份有限公司;000930.SZ;627,591.41
雏鹰农牧集团股份有限公司;002477.SZ;569,820.44
史丹利农业集团股份有限公司;002588.SZ;526,878.24
新疆天业股份有限公司;600075.SH;497,716.26
河南华英农业发展股份有限公司;002321.SZ;412,192.59
广东韶能集团股份有限公司;000601.SZ;359,410.41
袁隆平农业高科技股份有限公司;000998.SZ;319,001.93
黑龙江北大荒农业股份有限公司;600598.SH;299,241.46
深圳诺普信农化股份有限公司;002215.SZ;282,157.52
安徽省司尔特肥业股份有限公司;002538.SZ;260,272.12
深圳市农产品股份有限公司;000061.SZ;244,628.14
深圳市芭田生态工程股份有限公司;002170.SZ;206,684.61
甘肃亚盛实业(集团)股份有限公司;600108.SH;206,634.17
山东龙力生物科技股份有限公司;002604.SZ;196,587.88
广州迪森热能技术股份有限公司;300335.SZ;192,071.47
江苏蓝丰生物化工股份有限公司;002513.SZ;185,064.09
大禹节水集团股份有限公司;300021.SZ;128,442.37
上海亚通股份有限公司;600692.SH;121,383.60
山东民和牧业股份有限公司;002234.SZ;106,750.24
浙江大东南股份有限公司;002263.SZ;104,851.57
安徽荃银高科种业股份有限公司;300087.SZ;94,746.59
山东登海种业股份有限公司;002041.SZ;80,382.10
