公司名称;股票代码;营业总收入(万元)
广汇汽车服务股份公司;600297.SH;16,071,152.25
上海医药集团股份有限公司;601607.SH;13,084,718.19
中国医药健康产业股份有限公司;600056.SH;3,010,233.86
华东医药股份有限公司;000963.SZ;2,783,182.31
云南白药集团股份有限公司;000538.SZ;2,431,461.40
广州白云山医药集团股份有限公司;600332.SH;2,095,422.52
天士力医药集团股份有限公司;600535.SH;1,609,415.00
人福医药集团股份公司;600079.SH;1,544,568.41
嘉事堂药业股份有限公司;002462.SZ;1,423,889.97
江苏恒瑞医药股份有限公司;600276.SH;1,383,562.94
四川科伦药业股份有限公司;002422.SZ;1,143,494.88
梅花生物科技集团股份有限公司;600873.SH;1,113,216.11
山东新华医疗器械股份有限公司;600587.SH;998,324.62
冠福控股股份有限公司;002102.SZ;973,586.88
丽珠医药集团股份有限公司;000513.SZ;853,096.86
华润双鹤药业股份有限公司;600062.SH;642,184.68
贵州信邦制药股份有限公司;002390.SZ;600,247.10
昆药集团股份有限公司;600422.SH;585,228.74
辅仁药业集团实业股份有限公司;600781.SH;579,992.40
东北制药集团股份有限公司;000597.SZ;567,635.16
迪安诊断技术集团股份有限公司;300244.SZ;500,412.42
浙江华海药业股份有限公司;600521.SH;500,200.27
乐普(北京)医疗器械股份有限公司;300003.SZ;453,764.27
亿帆医药股份有限公司;002019.SZ;437,329.40
上海润达医疗科技股份有限公司;603108.SH;431,880.98
深圳信立泰药业股份有限公司;002294.SZ;415,377.66
长春高新技术产业(集团)股份有限公司;000661.SZ;410,226.16
贵州益佰制药股份有限公司;600594.SH;380,766.18
上海兰生股份有限公司;600826.SH;333,513.49
江苏康缘药业股份有限公司;600557.SH;327,469.82
