公司名称;股票代码;营业总收入(万元)
健康元药业集团股份有限公司;600380.SH;1,077,925.82
天康生物股份有限公司;002100.SZ;463,002.57
长春高新技术产业(集团)股份有限公司;000661.SZ;410,226.16
石家庄以岭药业股份有限公司;002603.SZ;408,126.67
中牧实业股份有限公司;600195.SH;406,972.93
西安国际医学投资股份有限公司;000516.SZ;405,950.08
山东鲁抗医药股份有限公司;600789.SH;259,928.89
华兰生物工程股份有限公司;002007.SZ;236,817.66
深圳华大基因股份有限公司;300676.SZ;209,554.43
迈克生物股份有限公司;300463.SZ;196,998.37
上海莱士血液制品股份有限公司;002252.SZ;192,774.84
金宇生物技术股份有限公司;600201.SH;190,101.03
美康生物科技股份有限公司;300439.SZ;180,516.80
北京天坛生物制品股份有限公司;600161.SH;176,516.97
上海科华生物工程股份有限公司;002022.SZ;159,411.62
岳阳兴长石化股份有限公司;000819.SZ;158,807.05
长生生物科技股份有限公司;002680.SZ;155,337.39
中山大学达安基因股份有限公司;002030.SZ;154,242.93
博雅生物制药集团股份有限公司;300294.SZ;146,052.19
郑州安图生物工程股份有限公司;603658.SH;140,014.20
舒泰神(北京)生物制药股份有限公司;300204.SZ;138,788.59
重庆智飞生物制品股份有限公司;300122.SZ;134,256.86
山东未名生物医药股份有限公司;002581.SZ;116,241.66
深圳康泰生物制品股份有限公司;300601.SZ;116,117.58
广州万孚生物技术股份有限公司;300482.SZ;114,548.45
南京健友生化制药股份有限公司;603707.SH;111,272.60
北海银河生物产业投资股份有限公司;000806.SZ;104,571.60
山西仟源医药集团股份有限公司;300254.SZ;93,892.80
中源协和细胞基因工程股份有限公司;600645.SH;87,091.35
桂林莱茵生物科技股份有限公司;002166.SZ;80,126.27
