公司名称;股票代码;营业总收入(万元)
东方电气股份有限公司;600875.SH;3,083,023.04
北京碧水源科技股份有限公司;300070.SZ;1,376,728.61
启迪桑德环境资源股份有限公司;000826.SZ;935,838.47
北京首创股份有限公司;600008.SH;928,546.84
福建龙净环保股份有限公司;600388.SH;811,269.20
无锡华光锅炉股份有限公司;600475.SH;584,939.01
广东科达洁能股份有限公司;600499.SH;572,851.36
中信重工机械股份有限公司;601608.SH;462,057.99
北京清新环境技术股份有限公司;002573.SZ;409,422.01
北京中科三环高技术股份有限公司;000970.SZ;389,526.73
浙江菲达环保科技股份有限公司;600526.SH;380,511.79
浙江富春江环保热电股份有限公司;002479.SZ;332,359.46
国家电投集团远达环保股份有限公司;600292.SH;327,682.63
东江环保股份有限公司;002672.SZ;309,965.86
神雾环保技术股份有限公司;300156.SZ;280,939.35
北京万邦达环保技术股份有限公司;300055.SZ;207,124.64
天壕环境股份有限公司;300332.SZ;198,387.75
华油惠博普科技股份有限公司;002554.SZ;148,524.61
江苏维尔利环保科技股份有限公司;300190.SZ;141,776.54
安徽盛运环保(集团)股份有限公司;300090.SZ;135,780.29
厦门三维丝环保股份有限公司;300056.SZ;130,910.35
永清环保股份有限公司;300187.SZ;122,893.90
重庆三峡水利电力(集团)股份有限公司;600116.SH;121,762.25
北京雪迪龙科技股份有限公司;002658.SZ;108,424.85
河北先河环保科技股份有限公司;300137.SZ;104,253.77
中原环保股份有限公司;000544.SZ;97,630.21
上海巴安水务股份有限公司;300262.SZ;91,015.52
科林环保装备股份有限公司;002499.SZ;88,551.68
吉林省金冠电气股份有限公司;300510.SZ;74,131.45
中电环保股份有限公司;300172.SZ;68,044.80
