公司名称;股票代码;营业总收入(万元)
比亚迪股份有限公司;002594.SZ;10,591,470.20
重庆长安汽车股份有限公司;000625.SZ;8,001,220.52
北汽福田汽车股份有限公司;600166.SH;5,171,013.70
安徽江淮汽车集团股份有限公司;600418.SH;4,920,282.83
郑州宇通客车股份有限公司;600066.SH;3,322,194.88
东风汽车股份有限公司;600006.SH;1,830,087.77
厦门金龙汽车集团股份有限公司;600686.SH;1,773,608.40
远东智慧能源股份有限公司;600869.SH;1,726,023.76
力帆实业(集团)股份有限公司;601777.SH;1,260,044.35
中通客车控股股份有限公司;000957.SZ;785,157.92
骆驼集团股份有限公司;601311.SH;761,798.04
宏发科技股份有限公司;600885.SH;602,020.48
昆明云内动力股份有限公司;000903.SZ;590,967.83
江苏爱康科技股份有限公司;002610.SZ;485,649.32
国轩高科股份有限公司;002074.SZ;483,809.86
深圳市汇川技术股份有限公司;300124.SZ;477,729.57
金杯电工股份有限公司;002533.SZ;396,136.43
成都市新筑路桥机械股份有限公司;002480.SZ;166,023.24
江苏银河电子股份有限公司;002519.SZ;162,448.53
新海宜科技集团股份有限公司;002089.SZ;160,471.53
福建纳川管材科技股份有限公司;300198.SZ;147,981.18
北京合康新能科技股份有限公司;300048.SZ;135,092.84
浙江方正电机股份有限公司;002196.SZ;131,808.29
上海创力集团股份有限公司;603012.SH;125,363.05
四川富临运业集团股份有限公司;002357.SZ;107,520.94
上海科泰电源股份有限公司;300153.SZ;107,321.70
深圳市蓝海华腾技术股份有限公司;300484.SZ;57,899.89
