公司名称;股票代码;营业总收入(万元)
深圳市海王生物工程股份有限公司;000078.SZ;2,493,963.77
湖北沙隆达股份有限公司;000553.SZ;2,381,956.80
广州白云山医药集团股份有限公司;600332.SH;2,095,422.52
安徽华信国际控股股份有限公司;002018.SZ;1,679,892.14
新奥生态控股股份有限公司;600803.SH;1,003,563.29
浙江新安化工集团股份有限公司;600596.SH;727,647.38
江苏扬农化工股份有限公司;600486.SH;443,822.82
南通江山农药化工股份有限公司;600389.SH;364,135.91
天津红日药业股份有限公司;300026.SZ;337,401.90
江苏康缘药业股份有限公司;600557.SH;327,469.82
利尔化学股份有限公司;002258.SZ;308,354.79
深圳诺普信农化股份有限公司;002215.SZ;282,157.52
山东鲁抗医药股份有限公司;600789.SH;259,928.89
江苏长青农化股份有限公司;002391.SZ;224,530.59
江苏蓝丰生物化工股份有限公司;002513.SZ;185,064.09
上海凯宝药业股份有限公司;300039.SZ;156,991.60
中山大学达安基因股份有限公司;002030.SZ;154,242.93
桂林莱茵生物科技股份有限公司;002166.SZ;80,126.27
江苏联环药业股份有限公司;600513.SH;68,909.93
云南沃森生物技术股份有限公司;300142.SZ;66,826.48
江苏四环生物股份有限公司;000518.SZ;34,605.46
