公司名称;股票代码;营业总收入(万元)
紫光股份有限公司;000938.SZ;3,907,104.09
欧菲科技股份有限公司;002456.SZ;3,379,103.14
安徽楚江科技新材料股份有限公司;002171.SZ;1,104,402.50
中国宝安集团股份有限公司;000009.SZ;707,080.24
广东猛狮新能源科技股份有限公司;002684.SZ;390,498.53
苏州锦富技术股份有限公司;300128.SZ;302,146.41
长江润发医药股份有限公司;002435.SZ;298,694.76
深圳拓邦股份有限公司;002139.SZ;268,256.84
深圳市新纶科技股份有限公司;002341.SZ;206,442.45
南风化工集团股份有限公司;000737.SZ;187,265.98
安徽江南化工股份有限公司;002226.SZ;165,395.97
新海宜科技集团股份有限公司;002089.SZ;160,471.53
山东国瓷功能材料股份有限公司;300285.SZ;121,761.97
西藏城市发展投资股份有限公司;600773.SH;96,485.22
深圳市惠程电气股份有限公司;002168.SZ;37,317.27
