公司名称;股票代码;营业总收入(万元)
中国人寿保险股份有限公司;601628.SH;65,319,500.00
中国太平洋保险(集团)股份有限公司;601601.SH;31,980,900.00
绿地控股集团股份有限公司;600606.SH;29,041,822.28
苏宁易购集团股份有限公司;002024.SZ;18,792,776.40
新华人寿保险股份有限公司;601336.SH;14,413,200.00
上海复星医药(集团)股份有限公司;600196.SH;1,853,355.54
上海豫园旅游商城股份有限公司;600655.SH;1,711,124.68
江苏凤凰出版传媒股份有限公司;601928.SH;1,105,048.31
健康元药业集团股份有限公司;600380.SH;1,077,925.82
内蒙古君正能源化工集团股份有限公司;601216.SH;773,950.93
上海新朋实业股份有限公司;002328.SZ;394,839.62
合肥城建发展股份有限公司;002208.SZ;275,191.93
恒生电子股份有限公司;600570.SH;266,612.14
湖北省广播电视信息网络股份有限公司;000665.SZ;261,238.68
青岛城市传媒股份有限公司;600229.SH;196,948.50
上海张江高科技园区开发股份有限公司;600895.SH;125,304.95
百大集团股份有限公司;600865.SH;95,607.08
天津海泰科技发展股份有限公司;600082.SH;51,197.21
