公司名称;股票代码;营业总收入(万元)
上海锦江国际酒店发展股份有限公司;600754.SH;1,358,258.36
北京首旅酒店(集团)股份有限公司;600258.SH;841,665.19
海航凯撒旅游集团股份有限公司;000796.SZ;804,531.86
广州岭南集团控股股份有限公司;000524.SZ;639,202.56
北部湾旅游股份有限公司;603869.SH;251,182.77
广州酒家集团股份有限公司;603043.SH;218,921.11
中国全聚德(集团)股份有限公司;002186.SZ;186,055.66
黄山旅游发展股份有限公司;600054.SH;178,390.68
云南旅游股份有限公司;002059.SZ;162,147.09
华天酒店集团股份有限公司;000428.SZ;106,309.44
金陵饭店股份有限公司;601007.SH;93,841.27
西安旅游股份有限公司;000610.SZ;72,972.82
丽江玉龙旅游股份有限公司;002033.SZ;68,720.40
桂林旅游股份有限公司;000978.SZ;55,629.05
张家界旅游集团股份有限公司;000430.SZ;54,964.96
武汉三特索道集团股份有限公司;002159.SZ;53,944.06
西安饮食股份有限公司;000721.SZ;49,379.22
长白山旅游股份有限公司;603099.SH;38,857.80
国旅联合股份有限公司;600358.SH;28,751.99
中科云网科技集团股份有限公司;002306.SZ;9,668.70
深圳市全新好股份有限公司;000007.SZ;3,964.40
海航创新股份有限公司;600555.SH;3,082.99
海南大东海旅游中心股份有限公司;000613.SZ;2,790.66
