公司名称;股票代码;营业总收入(万元)
江苏中天科技股份有限公司;600522.SH;2,710,139.57
同方股份有限公司;600100.SH;2,598,938.73
湖北凯乐科技股份有限公司;600260.SH;1,513,842.93
浙江东方金融控股集团股份有限公司;600120.SH;981,145.02
神州数码信息服务股份有限公司;000555.SZ;818,705.67
曙光信息产业股份有限公司;603019.SH;629,422.34
华工科技产业股份有限公司;000988.SZ;448,055.28
中信国安信息产业股份有限公司;000839.SZ;436,238.97
江苏永鼎股份有限公司;600105.SH;286,920.71
厦门科华恒盛股份有限公司;002335.SZ;241,234.47
蓝盾信息安全技术股份有限公司;300297.SZ;221,647.64
新海宜科技集团股份有限公司;002089.SZ;160,471.53
三维通信股份有限公司;002115.SZ;118,143.67
三力士股份有限公司;002224.SZ;90,200.99
福建福晶科技股份有限公司;002222.SZ;45,372.19
