公司名称;股票代码;营业总收入(万元)
宝山钢铁股份有限公司;600019.SH;28,949,779.19
河钢股份有限公司;000709.SZ;10,898,307.52
鞍钢股份有限公司;000898.SZ;8,431,000.00
湖南华菱钢铁股份有限公司;000932.SZ;7,665,636.19
上海钢联电子商务股份有限公司;300226.SZ;7,369,705.13
马鞍山钢铁股份有限公司;600808.SH;7,322,802.96
山西太钢不锈钢股份有限公司;000825.SZ;6,778,978.10
北京首钢股份有限公司;000959.SZ;6,025,015.43
内蒙古包钢钢联股份有限公司;600010.SH;5,368,373.13
山东钢铁股份有限公司;600022.SH;4,789,837.79
柳州钢铁股份有限公司;601003.SH;4,155,716.91
甘肃酒钢集团宏兴钢铁股份有限公司;600307.SH;4,098,734.88
本钢板材股份有限公司;000761.SZ;4,050,785.58
南京钢铁股份有限公司;600282.SH;3,760,066.41
杭州钢铁股份有限公司;600126.SH;2,785,581.29
安阳钢铁股份有限公司;600569.SH;2,702,920.79
广东韶钢松山股份有限公司;000717.SZ;2,603,826.83
福建三钢闽光股份有限公司;002110.SZ;2,246,053.48
凌源钢铁股份有限公司;600231.SH;1,798,774.47
新疆八一钢铁股份有限公司;600581.SH;1,675,685.36
方大特钢科技股份有限公司;600507.SH;1,394,474.96
重庆钢铁股份有限公司;601005.SH;1,323,684.00
江苏沙钢股份有限公司;002075.SZ;1,241,434.88
大冶特殊钢股份有限公司;000708.SZ;1,022,706.96
西宁特殊钢股份有限公司;600117.SH;743,367.31
永兴特种不锈钢股份有限公司;002756.SZ;403,124.03
海南矿业股份有限公司;601969.SH;275,616.45
江苏武进不锈股份有限公司;603878.SH;146,119.57
山东金岭矿业股份有限公司;000655.SZ;104,382.59
