公司名称;股票代码;营业总收入(万元)
比亚迪股份有限公司;002594.SZ;10,591,470.20
西部矿业股份有限公司;601168.SH;2,737,729.29
江苏中天科技股份有限公司;600522.SH;2,710,139.57
远东智慧能源股份有限公司;600869.SH;1,726,023.76
苏州胜利精密制造科技股份有限公司;002426.SZ;1,591,310.85
宜宾天原集团股份有限公司;002386.SZ;1,528,557.52
厦门钨业股份有限公司;600549.SH;1,418,832.19
欣旺达电子股份有限公司;300207.SZ;1,404,488.25
深圳市德赛电池科技股份有限公司;000049.SZ;1,248,597.56
青海盐湖工业股份有限公司;000792.SZ;1,169,940.61
芜湖长信科技股份有限公司;300088.SZ;1,088,437.24
格林美股份有限公司;002340.SZ;1,075,214.30
中材科技股份有限公司;002080.SZ;1,026,781.92
陕西坚瑞沃能股份有限公司;300116.SZ;965,961.13
浙江华友钴业股份有限公司;603799.SH;965,322.27
浙江南都电源动力股份有限公司;300068.SZ;863,681.26
宁波杉杉股份有限公司;600884.SH;827,054.09
骆驼集团股份有限公司;601311.SH;761,798.04
长园集团股份有限公司;600525.SH;743,295.60
美都能源股份有限公司;600175.SH;648,157.79
横店集团东磁股份有限公司;002056.SZ;601,009.84
广东科达洁能股份有限公司;600499.SH;572,851.36
辽宁奥克化学股份有限公司;300082.SZ;569,888.65
天齐锂业股份有限公司;002466.SZ;547,003.99
江苏必康制药股份有限公司;002411.SZ;536,800.58
浙江尤夫高新纤维股份有限公司;002427.SZ;511,162.74
国轩高科股份有限公司;002074.SZ;483,809.86
山东石大胜华化工集团股份有限公司;603026.SH;477,130.60
广东东方精工科技股份有限公司;002611.SZ;468,484.54
江西赣锋锂业股份有限公司;002460.SZ;438,344.61
