公司名称;股票代码;营业总收入(万元)
厦门钨业股份有限公司;600549.SH;1,418,832.19
五矿资本股份有限公司;600390.SH;1,341,840.06
格林美股份有限公司;002340.SZ;1,075,214.30
启迪桑德环境资源股份有限公司;000826.SZ;935,838.47
宁波杉杉股份有限公司;600884.SH;827,054.09
中国宝安集团股份有限公司;000009.SZ;707,080.24
辽宁奥克化学股份有限公司;300082.SZ;569,888.65
山东石大胜华化工集团股份有限公司;603026.SH;477,130.60
安徽六国化工股份有限公司;600470.SH;476,555.58
中信国安信息产业股份有限公司;000839.SZ;436,238.97
宝泰隆新材料股份有限公司;601011.SH;293,525.33
北京当升材料科技股份有限公司;300073.SZ;215,790.61
江门市科恒实业股份有限公司;300340.SZ;206,059.97
福建众和股份有限公司;002070.SZ;75,397.71
