公司名称;股票代码;营业总收入(万元)
中国中车股份有限公司;601766.SH;21,101,256.00
潍柴动力股份有限公司;000338.SZ;15,156,939.22
上海电气集团股份有限公司;601727.SH;7,954,379.40
中国国际海运集装箱(集团)股份有限公司;000039.SZ;7,629,993.00
中国船舶重工股份有限公司;601989.SH;3,877,576.97
三一重工股份有限公司;600031.SH;3,833,508.70
中航飞机股份有限公司;000768.SZ;3,107,904.69
徐工集团工程机械股份有限公司;000425.SZ;2,913,110.46
中联重科股份有限公司;000157.SZ;2,327,289.37
中国船舶重工集团动力股份有限公司;600482.SH;2,314,710.26
中国航发动力股份有限公司;600893.SH;2,255,500.31
中船海洋与防务装备股份有限公司;600685.SH;2,231,338.19
上海振华重工(集团)股份有限公司;600320.SH;2,185,881.40
中国船舶工业股份有限公司;600150.SH;1,669,110.14
航天时代电子技术股份有限公司;600879.SH;1,305,428.73
中航直升机股份有限公司;600038.SH;1,204,810.88
中国第一重型机械股份公司;601106.SH;1,025,182.52
中国东方红卫星股份有限公司;600118.SH;738,523.31
太原重工股份有限公司;600169.SH;717,709.67
中航重机股份有限公司;600765.SH;566,256.54
沈阳机床股份有限公司;000410.SZ;418,923.69
西安陕鼓动力股份有限公司;601369.SH;395,790.28
烟台杰瑞石油服务集团股份有限公司;002353.SZ;318,707.65
吉林利源精制股份有限公司;002501.SZ;303,136.30
中国航发动力控制股份有限公司;000738.SZ;255,346.25
江西洪都航空工业股份有限公司;600316.SH;253,002.47
沈阳新松机器人自动化股份有限公司;300024.SZ;245,506.40
中国航发航空科技股份有限公司;600391.SH;225,881.39
北京北斗星通导航技术股份有限公司;002151.SZ;220,426.71
潍柴重机股份有限公司;000880.SZ;197,638.94
