公司名称;股票代码;营业总收入(万元)
中国联合网络通信股份有限公司;600050.SH;27,482,894.63
苏宁易购集团股份有限公司;002024.SZ;18,792,776.40
永辉超市股份有限公司;601933.SH;5,859,134.34
上海百联集团股份有限公司;600827.SH;4,718,112.14
万达电影股份有限公司;002739.SZ;1,322,938.03
华谊兄弟传媒股份有限公司;300027.SZ;394,627.61
三江购物俱乐部股份有限公司;601116.SH;376,985.55
华数传媒控股股份有限公司;000156.SZ;320,930.79
北京中长石基信息技术股份有限公司;002153.SZ;296,118.66
恒生电子股份有限公司;600570.SH;266,612.14
北京四维图新科技股份有限公司;002405.SZ;215,648.78
北京光线传媒股份有限公司;300251.SZ;184,345.28
杭州顺网科技股份有限公司;300113.SZ;181,580.93
北京掌趣科技股份有限公司;300315.SZ;176,821.45
深圳市长亮科技股份有限公司;300348.SZ;87,965.23
