公司名称;股票代码;营业总收入(万元)
中国联合网络通信股份有限公司;600050.SH;27,482,894.63
江苏长电科技股份有限公司;600584.SH;2,385,551.24
福建新大陆电脑股份有限公司;000997.SZ;491,990.96
大唐电信科技股份有限公司;600198.SH;434,768.85
中山达华智能科技股份有限公司;002512.SZ;345,748.21
深圳市信维通信股份有限公司;300136.SZ;343,476.78
惠州硕贝德无线科技股份有限公司;300322.SZ;206,764.44
深圳顺络电子股份有限公司;002138.SZ;198,755.79
武汉天喻信息产业股份有限公司;300205.SZ;193,607.04
深圳市桑达实业股份有限公司;000032.SZ;172,106.38
深圳市证通电子股份有限公司;002197.SZ;168,259.32
恒宝股份有限公司;002104.SZ;136,837.41
北京数码视讯科技股份有限公司;300079.SZ;135,015.84
信雅达系统工程股份有限公司;600571.SH;132,210.20
深圳市新国都技术股份有限公司;300130.SZ;123,691.35
北京中科金财科技股份有限公司;002657.SZ;122,601.77
东信和平科技股份有限公司;002017.SZ;118,981.00
国民技术股份有限公司;300077.SZ;69,495.71
广州御银科技股份有限公司;002177.SZ;56,971.46
浙江网盛生意宝股份有限公司;002095.SZ;36,193.34
