公司名称;股票代码;营业总收入(万元)
北京三聚环保新材料股份有限公司;300072.SZ;2,247,773.30
中材科技股份有限公司;002080.SZ;1,026,781.92
福建龙净环保股份有限公司;600388.SH;811,269.20
北京清新环境技术股份有限公司;002573.SZ;409,422.01
浙江菲达环保科技股份有限公司;600526.SH;380,511.79
国家电投集团远达环保股份有限公司;600292.SH;327,682.63
聚光科技(杭州)股份有限公司;300203.SZ;279,939.93
创元科技股份有限公司;000551.SZ;259,050.56
中节能环保装备股份有限公司;300140.SZ;190,141.96
安徽盛运环保(集团)股份有限公司;300090.SZ;135,780.29
厦门三维丝环保股份有限公司;300056.SZ;130,910.35
河北先河环保科技股份有限公司;300137.SZ;104,253.77
科林环保装备股份有限公司;002499.SZ;88,551.68
无锡雪浪环境科技股份有限公司;300385.SZ;81,803.54
浙江德创环保科技股份有限公司;603177.SH;79,910.59
徐州科融环境资源股份有限公司;300152.SZ;66,179.56
烟台龙源电力技术股份有限公司;300105.SZ;59,595.99
