公司名称;股票代码;营业总收入(万元)
中国铁建股份有限公司;601186.SH;68,098,112.70
绿地控股集团股份有限公司;600606.SH;29,041,822.28
中国葛洲坝集团股份有限公司;600068.SH;10,680,709.95
华夏幸福基业股份有限公司;600340.SH;5,963,542.03
安徽水利开发股份有限公司;600502.SH;3,545,709.51
上海隧道工程股份有限公司;600820.SH;3,152,643.77
江苏中南建设集团股份有限公司;000961.SZ;3,055,232.75
同方股份有限公司;600100.SH;2,598,938.73
龙元建设集团股份有限公司;600491.SH;1,787,337.76
北京东方园林环境股份有限公司;002310.SZ;1,522,610.17
山东高速路桥集团股份有限公司;000498.SZ;1,238,472.98
海航基础设施投资集团股份有限公司;600515.SH;1,115,707.73
龙建路桥股份有限公司;600853.SH;1,006,377.27
启迪桑德环境资源股份有限公司;000826.SZ;935,838.47
深圳市铁汉生态环境股份有限公司;300197.SZ;818,779.03
宏润建设集团股份有限公司;002062.SZ;812,724.73
广东水电二局股份有限公司;002060.SZ;663,045.55
苏交科集团股份有限公司;300284.SZ;651,902.86
神州长城股份有限公司;000018.SZ;649,712.50
内蒙古蒙草生态环境(集团)股份有限公司;300355.SZ;557,888.80
江苏必康制药股份有限公司;002411.SZ;536,800.58
棕榈生态城镇发展股份有限公司;002431.SZ;525,325.91
盈峰环境科技集团股份有限公司;000967.SZ;489,838.90
岭南生态文旅股份有限公司;002717.SZ;477,874.08
山东美晨生态环境股份有限公司;300237.SZ;388,851.61
南方中金环境股份有限公司;300145.SZ;381,465.34
成都市兴蓉环境股份有限公司;000598.SZ;373,133.89
西藏天路股份有限公司;600326.SH;359,095.87
腾达建设集团股份有限公司;600512.SH;358,964.71
东江环保股份有限公司;002672.SZ;309,965.86
