公司名称;股票代码;营业总收入(万元)
中兴通讯股份有限公司;000063.SZ;10,881,527.30
烽火通信科技股份有限公司;600498.SH;2,105,622.47
福建星网锐捷通讯股份有限公司;002396.SZ;770,513.56
上海华东电脑股份有限公司;600850.SH;659,781.22
广州杰赛科技股份有限公司;002544.SZ;597,797.07
深圳市信维通信股份有限公司;300136.SZ;343,476.78
深圳市卓翼科技股份有限公司;002369.SZ;276,324.92
惠州硕贝德无线科技股份有限公司;300322.SZ;206,764.44
北京荣之联科技股份有限公司;002642.SZ;188,879.64
三维通信股份有限公司;002115.SZ;118,143.67
广东盛路通信科技股份有限公司;002446.SZ;95,815.07
珠海世纪鼎利科技股份有限公司;300050.SZ;88,487.45
深圳市同洲电子股份有限公司;002052.SZ;67,286.52
河南辉煌科技股份有限公司;002296.SZ;54,689.25
尤洛卡精准信息工程股份有限公司;300099.SZ;42,291.17
杭州中威电子股份有限公司;300270.SZ;40,577.50
