公司名称;股票代码;营业总收入(万元)
TCL集团股份有限公司;000100.SZ;11,172,744.20
比亚迪股份有限公司;002594.SZ;10,591,470.20
深圳市爱施德股份有限公司;002416.SZ;5,673,587.05
欧菲科技股份有限公司;002456.SZ;3,379,103.14
歌尔股份有限公司;002241.SZ;2,553,673.06
苏州胜利精密制造科技股份有限公司;002426.SZ;1,591,310.85
深圳长城开发科技股份有限公司;000021.SZ;1,420,977.86
长春欧亚集团股份有限公司;600697.SH;1,398,142.40
深圳市德赛电池科技股份有限公司;000049.SZ;1,248,597.56
康得新复合材料集团股份有限公司;002450.SZ;1,178,907.35
深圳市长盈精密技术股份有限公司;300115.SZ;843,160.37
深圳市信维通信股份有限公司;300136.SZ;343,476.78
汕头万顺包装材料股份有限公司;300057.SZ;321,280.82
苏州锦富技术股份有限公司;300128.SZ;302,146.41
深圳市卓翼科技股份有限公司;002369.SZ;276,324.92
浙江水晶光电科技股份有限公司;002273.SZ;214,578.60
惠州硕贝德无线科技股份有限公司;300322.SZ;206,764.44
四川东材科技集团股份有限公司;601208.SH;173,407.96
北京汇冠新技术股份有限公司;300282.SZ;129,895.19
深圳市朗科科技股份有限公司;300042.SZ;92,882.81
利达光电股份有限公司;002189.SZ;91,286.60
东莞宜安科技股份有限公司;300328.SZ;81,073.44
山东共达电声股份有限公司;002655.SZ;78,694.01
深圳丹邦科技股份有限公司;002618.SZ;31,715.85
