公司名称;股票代码;营业总收入(万元)
一汽轿车股份有限公司;000800.SZ;2,790,221.24
凌源钢铁股份有限公司;600231.SH;1,798,774.47
辽宁成大股份有限公司;600739.SH;1,399,882.74
长春一汽富维汽车零部件股份有限公司;600742.SH;1,273,277.72
中航直升机股份有限公司;600038.SH;1,204,810.88
龙建路桥股份有限公司;600853.SH;1,006,377.27
华电能源股份有限公司;600726.SH;908,191.09
航天科技控股集团股份有限公司;000901.SZ;580,199.30
东北制药集团股份有限公司;000597.SZ;567,635.16
沈阳机床股份有限公司;000410.SZ;418,923.69
大连冷冻机股份有限公司;000530.SZ;207,971.51
北方联合出版传媒(集团)股份有限公司;601999.SH;193,088.96
大连友谊(集团)股份有限公司;000679.SZ;184,324.15
启明信息技术股份有限公司;002232.SZ;171,220.90
哈尔滨电气集团佳木斯电机股份有限公司;000922.SZ;158,815.97
辽宁时代万恒股份有限公司;600241.SH;150,137.53
吉林森林工业股份有限公司;600189.SH;102,607.07
通化葡萄酒股份有限公司;600365.SH;91,955.19
长春经开(集团)股份有限公司;600215.SH;41,721.82
哈尔滨空调股份有限公司;600202.SH;27,346.27
