公司名称;股票代码;营业总收入(万元)
重庆长安汽车股份有限公司;000625.SZ;8,001,220.52
金科地产集团股份有限公司;000656.SZ;3,475,762.31
重庆百货大楼股份有限公司;600729.SH;3,291,536.51
重庆钢铁股份有限公司;601005.SH;1,323,684.00
重庆市迪马实业股份有限公司;600565.SH;953,798.76
华邦生命健康股份有限公司;002004.SZ;910,890.04
重庆太极实业(集团)股份有限公司;600129.SH;873,452.30
重庆港九股份有限公司;600279.SH;632,053.84
中交地产股份有限公司;000736.SZ;579,357.88
重庆宗申动力机械股份有限公司;001696.SZ;519,726.90
重庆水务集团股份有限公司;601158.SH;447,155.56
重庆三峡油漆股份有限公司;000565.SZ;360,903.28
国家电投集团远达环保股份有限公司;600292.SH;327,682.63
重庆啤酒股份有限公司;600132.SH;317,551.95
西南证券股份有限公司;600369.SH;306,076.48
北大医药股份有限公司;000788.SZ;214,591.81
重庆涪陵电力实业股份有限公司;600452.SH;206,033.23
财信国兴地产发展股份有限公司;000838.SZ;180,347.94
欢瑞世纪联合股份有限公司;000892.SZ;156,721.41
重庆三峡水利电力(集团)股份有限公司;600116.SH;121,762.25
奥瑞德光电股份有限公司;600666.SH;118,994.24
重庆渝开发股份有限公司;000514.SZ;104,085.28
云南云投生态环境科技股份有限公司;002200.SZ;66,826.63
中国嘉陵工业股份有限公司(集团);600877.SH;58,762.42
重庆万里新能源股份有限公司;600847.SH;45,268.80
重庆路桥股份有限公司;600106.SH;23,782.48
