公司名称;股票代码;营业总收入(万元)
中国石油天然气股份有限公司;601857.SH;201,589,000.00
中国交通建设股份有限公司;601800.SH;48,280,434.16
中国电力建设股份有限公司;601669.SH;26,681,989.56
河钢股份有限公司;000709.SZ;10,898,307.52
中兴通讯股份有限公司;000063.SZ;10,881,527.30
中国葛洲坝集团股份有限公司;600068.SH;10,680,709.95
上海电气集团股份有限公司;601727.SH;7,954,379.40
特变电工股份有限公司;600089.SH;3,828,120.17
北方国际合作股份有限公司;000065.SZ;973,003.16
思源电气股份有限公司;002028.SZ;449,478.81
浙江金洲管道科技股份有限公司;002443.SZ;386,294.77
珠海港股份有限公司;000507.SZ;186,063.64
江苏玉龙钢管股份有限公司;601028.SH;138,468.33
江苏神通阀门股份有限公司;002438.SZ;75,566.14
中电环保股份有限公司;300172.SZ;68,044.80
