公司名称;股票代码;营业总收入(万元)
中国建筑股份有限公司;601668.SH;105,410,650.30
万科企业股份有限公司;000002.SZ;24,289,711.03
上海浦东发展银行股份有限公司;600000.SH;16,861,900.00
TCL集团股份有限公司;000100.SZ;11,172,744.20
内蒙古伊利实业集团股份有限公司;600887.SH;6,805,817.43
北京首钢股份有限公司;000959.SZ;6,025,015.43
北京银行股份有限公司;601169.SH;5,035,300.00
大商股份有限公司;600694.SH;2,674,351.37
金融街控股股份有限公司;000402.SZ;2,551,934.09
新疆金风科技股份有限公司;002202.SZ;2,512,945.60
苏州胜利精密制造科技股份有限公司;002426.SZ;1,591,310.85
辽宁成大股份有限公司;600739.SH;1,399,882.74
长春欧亚集团股份有限公司;600697.SH;1,398,142.40
北京同仁堂股份有限公司;600085.SH;1,337,596.63
康得新复合材料集团股份有限公司;002450.SZ;1,178,907.35
中青旅控股股份有限公司;600138.SH;1,101,955.18
中国南玻集团股份有限公司;000012.SZ;1,087,940.07
上海海立(集团)股份有限公司;600619.SH;1,044,677.54
上海大名城企业股份有限公司;600094.SH;1,024,447.05
浙江万丰奥威汽轮股份有限公司;002085.SZ;1,017,722.68
雅戈尔集团股份有限公司;600177.SH;983,952.90
武汉东湖高新集团股份有限公司;600133.SH;763,290.67
银川新华百货商业集团股份有限公司;600785.SH;743,561.08
东软集团股份有限公司;600718.SH;713,113.47
赞宇科技集团股份有限公司;002637.SZ;690,827.92
京投发展股份有限公司;600683.SH;621,739.60
有研新材料股份有限公司;600206.SH;407,962.06
山西振东制药股份有限公司;300158.SZ;373,160.26
上海华鑫股份有限公司;600621.SH;363,963.81
中炬高新技术实业(集团)股份有限公司;600872.SH;360,937.17
