公司名称;股票代码;营业总收入(万元)
中国南方航空股份有限公司;600029.SH;12,748,900.00
中国国际航空股份有限公司;601111.SH;12,136,289.90
海南航空控股股份有限公司;600221.SH;5,990,394.80
山东晨鸣纸业集团股份有限公司;000488.SZ;2,985,174.38
山东太阳纸业股份有限公司;002078.SZ;1,889,428.79
山鹰国际控股股份公司;600567.SH;1,746,968.26
山东华泰纸业股份有限公司;600308.SH;1,365,891.74
山东博汇纸业股份有限公司;600966.SH;895,481.11
厦门合兴包装印刷股份有限公司;002228.SZ;632,337.74
岳阳林纸股份有限公司;600963.SH;614,378.18
辽宁奥克化学股份有限公司;300082.SZ;569,888.65
浙江景兴纸业股份有限公司;002067.SZ;535,961.61
奥佳华智能健康科技集团股份有限公司;002614.SZ;429,380.87
福建省青山纸业股份有限公司;600103.SH;265,553.65
广博集团股份有限公司;002103.SZ;237,849.58
广东冠豪高新技术股份有限公司;600433.SH;205,990.75
民丰特种纸股份有限公司;600235.SH;160,957.74
牡丹江恒丰纸业股份有限公司;600356.SH;144,417.82
东港股份有限公司;002117.SZ;142,950.11
上海界龙实业集团股份有限公司;600836.SH;133,413.39
宜宾纸业股份有限公司;600793.SH;115,796.48
浙江凯恩特种材料股份有限公司;002012.SZ;102,839.01
中冶美利云产业投资股份有限公司;000815.SZ;84,129.20
陕西金叶科教集团股份有限公司;000812.SZ;77,376.52
鸿博股份有限公司;002229.SZ;69,502.22
厦门安妮股份有限公司;002235.SZ;65,842.05
中闽能源股份有限公司;600163.SH;50,670.31
江门甘蔗化工厂(集团)股份有限公司;000576.SZ;47,496.67
