公司名称;股票代码;营业总收入(万元)
中远海运控股股份有限公司;601919.SH;9,046,395.79
山东黄金矿业股份有限公司;600547.SH;5,104,130.34
江苏国泰国际集团国贸股份有限公司;002091.SZ;3,454,921.49
中金黄金股份有限公司;600489.SH;3,292,824.55
山东晨鸣纸业集团股份有限公司;000488.SZ;2,985,174.38
中远海运发展股份有限公司;601866.SH;1,634,134.79
华孚时尚股份有限公司;002042.SZ;1,259,653.90
中工国际工程股份有限公司;002051.SZ;1,090,850.66
湖南黄金股份有限公司;002155.SZ;1,032,575.12
广东新宝电器股份有限公司;002705.SZ;822,230.20
神州长城股份有限公司;000018.SZ;649,712.50
上海美特斯邦威服饰股份有限公司;002269.SZ;647,235.92
鲁泰纺织股份有限公司;000726.SZ;640,922.40
百隆东方股份有限公司;601339.SH;595,221.39
孚日集团股份有限公司;002083.SZ;482,167.54
罗莱生活科技股份有限公司;002293.SZ;466,185.09
杭州巨星科技股份有限公司;002444.SZ;428,061.01
湛江国联水产开发股份有限公司;300094.SZ;409,580.67
江苏联发纺织股份有限公司;002394.SZ;400,362.10
贵人鸟股份有限公司;603555.SH;325,207.56
天顺风能(苏州)股份有限公司;002531.SZ;323,834.67
福建七匹狼实业股份有限公司;002029.SZ;308,489.43
探路者控股集团股份有限公司;300005.SZ;303,353.14
深圳市洲明科技股份有限公司;300232.SZ;303,052.76
华纺股份有限公司;600448.SH;285,015.51
浙江嘉欣丝绸股份有限公司;002404.SZ;277,316.66
深圳市雄韬电源科技股份有限公司;002733.SZ;265,642.54
深圳市富安娜家居用品股份有限公司;002327.SZ;261,620.84
报喜鸟控股股份有限公司;002154.SZ;260,115.28
赤峰吉隆黄金矿业股份有限公司;600988.SH;258,700.86
