公司名称;股票代码;营业总收入(万元)
中国工商银行股份有限公司;601398.SH;72,650,200.00
中国银行股份有限公司;601988.SH;48,327,800.00
万科企业股份有限公司;000002.SZ;24,289,711.03
招商银行股份有限公司;600036.SH;22,089,700.00
苏宁易购集团股份有限公司;002024.SZ;18,792,776.40
中信银行股份有限公司;601998.SH;15,670,800.00
中国民生银行股份有限公司;600016.SH;14,428,100.00
兴业银行股份有限公司;601166.SH;13,997,500.00
平安银行股份有限公司;000001.SZ;10,578,600.00
天津泰达股份有限公司;000652.SZ;1,902,344.80
深圳华强实业股份有限公司;000062.SZ;829,788.09
内蒙古君正能源化工集团股份有限公司;601216.SH;773,950.93
上海申华控股股份有限公司;600653.SH;580,247.47
深圳市金证科技股份有限公司;600446.SH;422,774.60
恒生电子股份有限公司;600570.SH;266,612.14
深圳市农产品股份有限公司;000061.SZ;244,628.14
天津天药药业股份有限公司;600488.SH;197,171.65
浙江瀚叶股份有限公司;600226.SH;131,742.94
天津海泰科技发展股份有限公司;600082.SH;51,197.21
