公司名称;股票代码;营业总收入(万元)
特变电工股份有限公司;600089.SH;3,828,120.17
通威股份有限公司;600438.SH;2,608,924.10
中国船舶重工集团动力股份有限公司;600482.SH;2,314,710.26
中国中材国际工程股份有限公司;600970.SH;1,955,368.82
江苏中利集团股份有限公司;002309.SZ;1,941,495.78
隆基绿能科技股份有限公司;601012.SH;1,636,228.45
苏州东山精密制造股份有限公司;002384.SZ;1,538,956.56
协鑫集成科技股份有限公司;002506.SZ;1,444,707.74
东方日升新能源股份有限公司;300118.SZ;1,145,175.88
天津中环半导体股份有限公司;002129.SZ;964,418.75
浙江三花智能控制股份有限公司;002050.SZ;958,124.38
中国长城科技集团股份有限公司;000066.SZ;950,683.88
阳光电源股份有限公司;300274.SZ;888,606.01
三安光电股份有限公司;600703.SH;839,372.58
浙江盾安人工环境股份有限公司;002011.SZ;827,875.87
东旭蓝天新能源股份有限公司;000040.SZ;813,102.53
宏润建设集团股份有限公司;002062.SZ;812,724.73
内蒙古霍林河露天煤业股份有限公司;002128.SZ;758,881.92
株洲旗滨集团股份有限公司;601636.SH;758,500.41
浙江万马股份有限公司;002276.SZ;740,873.40
易事特集团股份有限公司;300376.SZ;731,758.00
上海航天汽车机电股份有限公司;600151.SH;665,714.61
广东水电二局股份有限公司;002060.SZ;663,045.55
横店集团东磁股份有限公司;002056.SZ;601,009.84
中节能太阳能股份有限公司;000591.SZ;520,476.40
孚日集团股份有限公司;002083.SZ;482,167.54
深圳市汇川技术股份有限公司;300124.SZ;477,729.57
杭州福斯特应用材料股份有限公司;603806.SH;458,491.98
亿晶光电科技股份有限公司;600537.SH;413,761.30
江苏林洋能源股份有限公司;601222.SH;358,819.82
