公司名称;股票代码;营业总收入(万元)
华夏幸福基业股份有限公司;600340.SH;5,963,542.03
浙江海越股份有限公司;600387.SH;1,150,248.47
湖南电广传媒股份有限公司;000917.SZ;874,148.22
上海紫江企业集团股份有限公司;600210.SH;850,761.05
宁波杉杉股份有限公司;600884.SH;827,054.09
苏州新区高新技术产业股份有限公司;600736.SH;624,248.69
上海大众公用事业(集团)股份有限公司;600635.SH;470,013.54
上海凤凰企业(集团)股份有限公司;600679.SH;142,808.14
上海张江高科技园区开发股份有限公司;600895.SH;125,304.95
钱江水利开发股份有限公司;600283.SH;98,129.25
昆吾九鼎投资控股股份有限公司;600053.SH;75,599.08
江苏综艺股份有限公司;600770.SH;75,262.26
珠海华金资本股份有限公司;000532.SZ;47,914.73
鲁信创业投资集团股份有限公司;600783.SH;21,576.10
