公司名称;股票代码;营业总收入(万元)
北京金隅集团股份有限公司;601992.SH;6,367,833.09
华夏幸福基业股份有限公司;600340.SH;5,963,542.03
紫光股份有限公司;000938.SZ;3,907,104.09
金融街控股股份有限公司;000402.SZ;2,551,934.09
泰禾集团股份有限公司;000732.SZ;2,433,116.64
唐山冀东水泥股份有限公司;000401.SZ;1,528,971.41
北京城建投资发展股份有限公司;600266.SH;1,404,272.97
北京首创股份有限公司;600008.SH;928,546.84
北京首旅酒店(集团)股份有限公司;600258.SH;841,665.19
新华联文化旅游发展股份有限公司;000620.SZ;744,140.48
大亚圣象家居股份有限公司;000910.SZ;704,825.83
中广核核技术发展股份有限公司;000881.SZ;636,943.44
中国武夷实业股份有限公司;000797.SZ;417,155.99
北京华业资本控股股份有限公司;600240.SH;386,170.95
北京万通地产股份有限公司;600246.SH;329,495.73
北京京西文化旅游股份有限公司;000802.SZ;132,100.15
北京华联商厦股份有限公司;000882.SZ;109,595.61
北京市大龙伟业房地产开发股份有限公司;600159.SH;62,580.26
上海丰华(集团)股份有限公司;600615.SH;9,450.61
