公司名称;股票代码;营业总收入(万元)
河钢股份有限公司;000709.SZ;10,898,307.52
国电电力发展股份有限公司;600795.SH;5,983,317.78
荣盛房地产发展股份有限公司;002146.SZ;3,870,401.15
渤海金控投资股份有限公司;000415.SZ;3,593,435.10
天津泰达股份有限公司;000652.SZ;1,902,344.80
开滦能源化工股份有限公司;600997.SH;1,856,157.78
石家庄常山北明科技股份有限公司;000158.SZ;1,125,446.77
海航基础设施投资集团股份有限公司;600515.SH;1,115,707.73
河北建投能源投资股份有限公司;000600.SZ;1,053,767.84
华北制药股份有限公司;600812.SH;770,912.19
唐山港集团股份有限公司;601000.SH;761,218.57
河北宝硕股份有限公司;600155.SH;210,133.59
南京栖霞建设股份有限公司;600533.SH;170,700.69
北京中科金财科技股份有限公司;002657.SZ;122,601.77
河北建新化工股份有限公司;300107.SZ;53,587.96
海航投资集团股份有限公司;000616.SZ;9,670.73
