公司名称;股票代码;营业总收入(万元)
中国平安保险(集团)股份有限公司;601318.SH;89,088,200.00
物产中大集团股份有限公司;600704.SH;27,662,042.31
美的集团股份有限公司;000333.SZ;24,191,889.60
招商银行股份有限公司;600036.SH;22,089,700.00
厦门象屿股份有限公司;600057.SH;20,329,063.43
苏宁易购集团股份有限公司;002024.SZ;18,792,776.40
广汇汽车服务股份公司;600297.SH;16,071,152.25
中国民生银行股份有限公司;600016.SH;14,428,100.00
比亚迪股份有限公司;002594.SZ;10,591,470.20
庞大汽贸集团股份有限公司;601258.SH;7,048,514.82
内蒙古伊利实业集团股份有限公司;600887.SH;6,805,817.43
深圳市飞马国际供应链股份有限公司;002210.SZ;6,138,432.40
华夏幸福基业股份有限公司;600340.SH;5,963,542.03
山东黄金矿业股份有限公司;600547.SH;5,104,130.34
紫光股份有限公司;000938.SZ;3,907,104.09
南京钢铁股份有限公司;600282.SH;3,760,066.41
上海国际港务(集团)股份有限公司;600018.SH;3,742,394.62
欧菲科技股份有限公司;002456.SZ;3,379,103.14
阳光城集团股份有限公司;000671.SZ;3,316,313.02
广东海大集团股份有限公司;002311.SZ;3,255,663.41
江苏中南建设集团股份有限公司;000961.SZ;3,055,232.75
海通证券股份有限公司;600837.SH;2,822,166.72
江苏亨通光电股份有限公司;600487.SH;2,595,026.90
歌尔股份有限公司;002241.SZ;2,553,673.06
泰禾集团股份有限公司;000732.SZ;2,433,116.64
瑞康医药股份有限公司;002589.SZ;2,329,362.05
苏州金螳螂建筑装饰股份有限公司;002081.SZ;2,099,640.59
广州白云山医药集团股份有限公司;600332.SH;2,095,422.52
圆通速递股份有限公司;600233.SH;1,998,220.10
江苏宏图高科技股份有限公司;600122.SH;1,903,225.91
