公司名称;股票代码;营业总收入(万元)
保利房地产(集团)股份有限公司;600048.SH;14,634,181.61
招商局蛇口工业区控股股份有限公司;001979.SZ;7,545,468.22
金科地产集团股份有限公司;000656.SZ;3,475,762.31
山东晨鸣纸业集团股份有限公司;000488.SZ;2,985,174.38
江西正邦科技股份有限公司;002157.SZ;2,061,492.23
珠海华发实业股份有限公司;600325.SH;1,991,681.39
中天金融集团股份有限公司;000540.SZ;1,726,430.50
海南天然橡胶产业集团股份有限公司;601118.SH;1,081,832.27
上海大名城企业股份有限公司;600094.SH;1,024,447.05
深圳市中洲投资控股股份有限公司;000042.SZ;865,423.38
宜华生活科技股份有限公司;600978.SH;802,156.37
中华企业股份有限公司;600675.SH;765,897.03
中国宝安集团股份有限公司;000009.SZ;707,080.24
顺发恒业股份公司;000631.SZ;668,169.52
黑牡丹(集团)股份有限公司;600510.SH;628,921.95
岳阳林纸股份有限公司;600963.SH;614,378.18
中交地产股份有限公司;000736.SZ;579,357.88
浙江景兴纸业股份有限公司;002067.SZ;535,961.61
广州珠江实业开发股份有限公司;600684.SH;423,985.41
德华兔宝宝装饰新材股份有限公司;002043.SZ;411,955.85
袁隆平农业高科技股份有限公司;000998.SZ;319,001.93
南国置业股份有限公司;002305.SZ;316,612.05
黑龙江北大荒农业股份有限公司;600598.SH;299,241.46
印纪娱乐传媒股份有限公司;002143.SZ;218,760.34
甘肃亚盛实业(集团)股份有限公司;600108.SH;206,634.17
上海金桥出口加工区开发股份有限公司;600639.SH;167,382.58
卧龙地产集团股份有限公司;600173.SH;155,827.35
通化金马药业集团股份有限公司;000766.SZ;152,141.03
天津松江股份有限公司;600225.SH;147,578.45
合肥丰乐种业股份有限公司;000713.SZ;144,671.40
