公司名称;股票代码;营业总收入(万元)
宜华生活科技股份有限公司;600978.SH;802,156.37
深圳市宝鹰建设控股集团股份有限公司;002047.SZ;716,445.14
大亚圣象家居股份有限公司;000910.SZ;704,825.83
索菲亚家居股份有限公司;002572.SZ;616,144.41
广州尚品宅配家居股份有限公司;300616.SZ;532,344.71
浙江永强集团股份有限公司;002489.SZ;453,632.46
美克国际家居用品股份有限公司;600337.SH;417,941.82
德华兔宝宝装饰新材股份有限公司;002043.SZ;411,955.85
华联控股股份有限公司;000036.SZ;397,174.70
喜临门家具股份有限公司;603008.SH;318,735.79
志邦厨柜股份有限公司;603801.SH;215,687.54
广州海鸥住宅工业股份有限公司;002084.SZ;207,064.82
广东威华股份有限公司;002240.SZ;201,827.83
广州好莱客创意家居股份有限公司;603898.SH;186,324.76
德尔未来科技控股集团股份有限公司;002631.SZ;160,028.78
厦门金牌厨柜股份有限公司;603180.SH;144,196.71
广西丰林木业集团股份有限公司;601996.SH;130,169.00
四川升达林业产业股份有限公司;002259.SZ;117,774.28
江山欧派门业股份有限公司;603208.SH;100,973.89
厦门万里石股份有限公司;002785.SZ;92,327.51
厦门瑞尔特卫浴科技股份有限公司;002790.SZ;91,732.01
南京我乐家居股份有限公司;603326.SH;91,501.26
广东皮阿诺科学艺术家居股份有限公司;002853.SZ;82,646.83
上海菲林格尔木业股份有限公司;603226.SH;79,640.02
南兴装备股份有限公司;002757.SZ;78,117.99
东莞市华立实业股份有限公司;603038.SH;64,963.69
四川帝王洁具股份有限公司;002798.SZ;53,366.72
德艺文化创意集团股份有限公司;300640.SZ;47,070.62
浙江三星新材股份有限公司;603578.SH;29,894.93
云南景谷林业股份有限公司;600265.SH;6,597.36
