公司名称;股票代码;营业总收入(万元)
云南云天化股份有限公司;600096.SH;5,597,143.47
北方华锦化学工业股份有限公司;000059.SZ;3,371,378.06
重药控股股份有限公司;000950.SZ;2,304,460.07
阳煤化工股份有限公司;600691.SH;2,026,169.29
金正大生态工程集团股份有限公司;002470.SZ;1,983,354.01
鲁西化工集团股份有限公司;000830.SZ;1,576,180.03
湖北宜化化工股份有限公司;000422.SZ;1,195,544.15
青海盐湖工业股份有限公司;000792.SZ;1,169,940.61
山东华鲁恒升化工股份有限公司;600426.SH;1,040,807.14
内蒙古远兴能源股份有限公司;000683.SZ;1,030,394.63
成都云图控股股份有限公司;002539.SZ;774,155.20
山西兰花科技创业股份有限公司;600123.SH;756,633.02
川化股份有限公司;000155.SZ;650,912.32
江苏华昌化工股份有限公司;002274.SZ;531,891.00
安徽六国化工股份有限公司;600470.SH;476,555.58
沧州大化股份有限公司;600230.SH;441,719.51
四川美丰化工股份有限公司;000731.SZ;252,800.04
青岛城市传媒股份有限公司;600229.SH;196,948.50
柳州化工股份有限公司;600423.SH;183,007.37
贵州圣济堂医药产业股份有限公司;600227.SH;169,686.69
云南云维股份有限公司;600725.SH;48,934.61
广西河池化工股份有限公司;000953.SZ;22,088.16
