公司名称;股票代码;营业总收入(万元)
青岛海尔股份有限公司;600690.SH;15,925,446.69
宁波均胜电子股份有限公司;600699.SH;2,660,560.03
上海机电股份有限公司;600835.SH;1,947,114.64
众业达电气股份有限公司;002441.SZ;760,108.73
深圳市汇川技术股份有限公司;300124.SZ;477,729.57
广东东方精工科技股份有限公司;002611.SZ;468,484.54
南京熊猫电子股份有限公司;600775.SH;419,192.89
沈阳机床股份有限公司;000410.SZ;418,923.69
上海新时达电气股份有限公司;002527.SZ;340,361.22
北京四方继保自动化股份有限公司;601126.SH;318,240.91
河南黄河旋风股份有限公司;600172.SH;316,652.60
秦川机床工具集团股份公司;000837.SZ;299,988.55
华昌达智能装备集团股份有限公司;300278.SZ;296,602.68
软控股份有限公司;002073.SZ;273,376.40
科大智能科技股份有限公司;300222.SZ;255,927.56
天奇自动化工程股份有限公司;002009.SZ;245,833.27
沈阳新松机器人自动化股份有限公司;300024.SZ;245,506.40
中际旭创股份有限公司;300308.SZ;235,708.35
无锡先导智能装备股份有限公司;300450.SZ;217,689.53
深圳市英威腾电气股份有限公司;002334.SZ;212,231.10
上海海得控制系统股份有限公司;002184.SZ;205,077.38
北京安控科技股份有限公司;300370.SZ;176,637.10
湖北京山轻工机械股份有限公司;000821.SZ;153,652.49
许昌远东传动轴股份有限公司;002406.SZ;152,261.13
山东威达机械股份有限公司;002026.SZ;146,944.87
汉威科技集团股份有限公司;300007.SZ;144,417.91
江苏亚威机床股份有限公司;002559.SZ;143,903.93
宁波慈星股份有限公司;300307.SZ;140,437.51
北京合康新能科技股份有限公司;300048.SZ;135,092.84
沈阳蓝英工业自动化装备股份有限公司;300293.SZ;134,862.50
