公司名称;股票代码;营业总收入(万元)
万华化学集团股份有限公司;600309.SH;5,312,317.33
万邦德新材股份有限公司;002082.SZ;1,463,545.82
北新集团建材股份有限公司;000786.SZ;1,116,434.35
陕西坚瑞沃能股份有限公司;300116.SZ;965,961.13
山东金晶科技股份有限公司;600586.SH;435,382.79
浙江伟星新型建材股份有限公司;002372.SZ;390,295.82
芜湖海螺型材科技股份有限公司;000619.SZ;308,765.78
方大集团股份有限公司;000055.SZ;294,747.08
北京嘉寓门窗幕墙股份有限公司;300117.SZ;292,985.70
山东联创互联网传媒股份有限公司;300343.SZ;276,757.14
深圳达实智能股份有限公司;002421.SZ;257,248.77
红宝丽集团股份有限公司;002165.SZ;217,125.19
深圳和而泰智能控制股份有限公司;002402.SZ;197,856.79
广州智光电气股份有限公司;002169.SZ;183,131.72
上海延华智能科技(集团)股份有限公司;002178.SZ;119,099.20
常州天晟新材料股份有限公司;300169.SZ;77,233.65
宁波先锋新材料股份有限公司;300163.SZ;68,880.06
太空智造股份有限公司;300344.SZ;46,884.29
