公司名称;股票代码;营业总收入(万元)
中国医药健康产业股份有限公司;600056.SH;3,010,233.86
上海复星医药(集团)股份有限公司;600196.SH;1,853,355.54
上海现代制药股份有限公司;600420.SH;851,775.37
浙江新和成股份有限公司;002001.SZ;623,510.82
东北制药集团股份有限公司;000597.SZ;567,635.16
普洛药业股份有限公司;000739.SZ;555,176.31
浙江华海药业股份有限公司;600521.SH;500,200.27
长春高新技术产业(集团)股份有限公司;000661.SZ;410,226.16
北大医药股份有限公司;000788.SZ;214,591.81
北京天坛生物制品股份有限公司;600161.SH;176,516.97
江中药业股份有限公司;600750.SH;174,664.25
上海科华生物工程股份有限公司;002022.SZ;159,411.62
中山大学达安基因股份有限公司;002030.SZ;154,242.93
重庆智飞生物制品股份有限公司;300122.SZ;134,256.86
上海张江高科技园区开发股份有限公司;600895.SH;125,304.95
重庆博腾制药科技股份有限公司;300363.SZ;118,408.88
安徽安科生物工程(集团)股份有限公司;300009.SZ;109,626.83
吉药控股股份有限公司;300108.SZ;70,043.91
