公司名称;股票代码;营业总收入(万元)
广汇汽车服务股份公司;600297.SH;16,071,152.25
国电电力发展股份有限公司;600795.SH;5,983,317.78
北方华锦化学工业股份有限公司;000059.SZ;3,371,378.06
大商股份有限公司;600694.SH;2,674,351.37
恒力石化股份有限公司;600346.SH;2,228,796.64
辽宁成大股份有限公司;600739.SH;1,399,882.74
东软集团股份有限公司;600718.SH;713,113.47
沈阳金山能源股份有限公司;600396.SH;690,690.88
东北制药集团股份有限公司;000597.SZ;567,635.16
锦州港股份有限公司;600190.SH;453,149.62
沈阳机床股份有限公司;000410.SZ;418,923.69
营口港务股份有限公司;600317.SH;381,830.30
辽宁曙光汽车集团股份有限公司;600303.SH;380,918.10
航锦科技股份有限公司;000818.SZ;340,092.03
银基烯碳新材料集团股份有限公司;000511.SZ;241,228.91
联美量子股份有限公司;600167.SH;237,646.92
大连冷冻机股份有限公司;000530.SZ;207,971.51
长春燃气股份有限公司;600333.SH;146,282.19
大连热电股份有限公司;600719.SH;78,201.87
大连圣亚旅游控股股份有限公司;600593.SH;34,476.18
大连大福控股股份有限公司;600747.SH;10,404.76
