公司名称;股票代码;营业总收入(万元)
苏宁易购集团股份有限公司;002024.SZ;18,792,776.40
永辉超市股份有限公司;601933.SH;5,859,134.34
上海百联集团股份有限公司;600827.SH;4,718,112.14
天虹商场股份有限公司;002419.SZ;1,853,628.47
步步高商业连锁股份有限公司;002251.SZ;1,731,064.21
中百控股集团股份有限公司;000759.SZ;1,520,609.35
北京华联综合超市股份有限公司;600361.SH;1,175,916.26
利群商业集团股份有限公司;601366.SH;1,055,377.01
人人乐连锁商业集团股份有限公司;002336.SZ;885,528.55
成都红旗连锁股份有限公司;002697.SZ;693,894.43
广州市广百股份有限公司;002187.SZ;688,954.13
杭州解百集团股份有限公司;600814.SH;578,012.00
福建新大陆电脑股份有限公司;000997.SZ;491,990.96
三江购物俱乐部股份有限公司;601116.SH;376,985.55
快乐购物股份有限公司;300413.SZ;298,376.07
大连冷冻机股份有限公司;000530.SZ;207,971.51
思创医惠科技股份有限公司;300078.SZ;111,225.17
北京华联商厦股份有限公司;000882.SZ;109,595.61
新开普电子股份有限公司;300248.SZ;76,961.97
北京科蓝软件系统股份有限公司;300663.SZ;67,037.41
深圳市远望谷信息技术股份有限公司;002161.SZ;50,804.74
神思电子技术股份有限公司;300479.SZ;35,568.53
上海汇纳信息科技股份有限公司;300609.SZ;20,312.60
深圳市民德电子科技股份有限公司;300656.SZ;12,252.65
