公司名称;股票代码;营业总收入(万元)
TCL集团股份有限公司;000100.SZ;11,172,744.20
中兴通讯股份有限公司;000063.SZ;10,881,527.30
深圳市爱施德股份有限公司;002416.SZ;5,673,587.05
欧菲科技股份有限公司;002456.SZ;3,379,103.14
歌尔股份有限公司;002241.SZ;2,553,673.06
蓝思科技股份有限公司;300433.SZ;2,370,296.23
欣旺达电子股份有限公司;300207.SZ;1,404,488.25
深圳市长盈精密技术股份有限公司;300115.SZ;843,160.37
福建福日电子股份有限公司;600203.SH;820,289.19
广东劲胜智能集团股份有限公司;300083.SZ;642,172.30
浙江星星科技股份有限公司;300256.SZ;564,697.00
广东汕头超声电子股份有限公司;000823.SZ;433,312.70
深圳莱宝高科技股份有限公司;002106.SZ;398,934.98
深圳市卓翼科技股份有限公司;002369.SZ;276,324.92
浙江水晶光电科技股份有限公司;002273.SZ;214,578.60
深圳市聚飞光电股份有限公司;300303.SZ;205,513.97
深圳顺络电子股份有限公司;002138.SZ;198,755.79
北京掌趣科技股份有限公司;300315.SZ;176,821.45
宁波波导股份有限公司;600130.SH;161,982.48
山东国瓷功能材料股份有限公司;300285.SZ;121,761.97
山东共达电声股份有限公司;002655.SZ;78,694.01
深圳市同洲电子股份有限公司;002052.SZ;67,286.52
美格智能技术股份有限公司;002881.SZ;64,246.84
