公司名称;股票代码;营业总收入(万元)
江苏汇鸿国际集团股份有限公司;600981.SH;3,679,995.77
江苏国泰国际集团国贸股份有限公司;002091.SZ;3,454,921.49
徐工集团工程机械股份有限公司;000425.SZ;2,913,110.46
南京医药股份有限公司;600713.SH;2,747,344.92
江苏国信股份有限公司;002608.SZ;2,020,430.06
江苏洋河酒厂股份有限公司;002304.SZ;1,991,794.22
无锡市太极实业股份有限公司;600667.SH;1,203,381.94
江苏凤凰出版传媒股份有限公司;601928.SH;1,105,048.31
江苏宁沪高速公路股份有限公司;600377.SH;945,568.04
无锡威孚高科技集团股份有限公司;000581.SZ;901,728.02
黑牡丹(集团)股份有限公司;600510.SH;628,921.95
苏州新区高新技术产业股份有限公司;600736.SH;624,248.69
无锡华光锅炉股份有限公司;600475.SH;584,939.01
江苏舜天股份有限公司;600287.SH;549,947.28
江苏省农垦农业发展股份有限公司;601952.SH;431,551.76
东吴证券股份有限公司;601555.SH;414,424.05
江苏弘业股份有限公司;600128.SH;410,108.21
南京高科股份有限公司;600064.SH;362,607.21
南京公用发展股份有限公司;000421.SZ;360,932.05
金陵药业股份有限公司;000919.SZ;319,181.19
江苏今世缘酒业股份有限公司;603369.SH;295,749.52
江苏井神盐化股份有限公司;603299.SH;260,013.76
创元科技股份有限公司;000551.SZ;259,050.56
常柴股份有限公司;000570.SZ;242,305.90
南京栖霞建设股份有限公司;600533.SH;170,700.69
南京化纤股份有限公司;600889.SH;160,709.27
江苏恒顺醋业股份有限公司;600305.SH;154,158.27
江苏悦达投资股份有限公司;600805.SH;152,518.23
幸福蓝海影视文化集团股份有限公司;300528.SZ;151,723.01
江苏凤凰置业投资股份有限公司;600716.SH;134,311.23
