公司名称;股票代码;营业总收入(万元)
安徽水利开发股份有限公司;600502.SH;3,545,709.51
利欧集团股份有限公司;002131.SZ;1,057,263.07
北京首创股份有限公司;600008.SH;928,546.84
广东水电二局股份有限公司;002060.SZ;663,045.55
重庆水务集团股份有限公司;601158.SH;447,155.56
浙江金洲管道科技股份有限公司;002443.SZ;386,294.77
南方中金环境股份有限公司;300145.SZ;381,465.34
成都市兴蓉环境股份有限公司;000598.SZ;373,133.89
江西洪城水业股份有限公司;600461.SH;354,417.06
聚光科技(杭州)股份有限公司;300203.SZ;279,939.93
天津创业环保集团股份有限公司;600874.SH;214,834.10
顾地科技股份有限公司;002694.SZ;206,215.69
中山公用事业集团股份有限公司;000685.SZ;161,399.89
新界泵业集团股份有限公司;002532.SZ;150,706.61
福建纳川管材科技股份有限公司;300198.SZ;147,981.18
宁夏青龙管业股份有限公司;002457.SZ;120,721.15
钱江水利开发股份有限公司;600283.SH;98,129.25
艾格拉斯股份有限公司;002619.SZ;84,508.59
新疆国统管道股份有限公司;002205.SZ;78,910.87
大连三垒机器股份有限公司;002621.SZ;17,716.89
