公司名称;股票代码;营业总收入(万元)
上海国际港务(集团)股份有限公司;600018.SH;3,742,394.62
宁波舟山港股份有限公司;601018.SH;1,818,291.70
天津港股份有限公司;600717.SH;1,423,441.06
厦门港务发展股份有限公司;000905.SZ;1,371,269.73
安徽皖江物流(集团)股份有限公司;600575.SH;955,598.40
大连港股份有限公司;601880.SH;903,164.34
广州港股份有限公司;601228.SH;830,774.00
唐山港集团股份有限公司;601000.SH;761,218.57
秦皇岛港股份有限公司;601326.SH;703,324.87
重庆港九股份有限公司;600279.SH;632,053.84
日照港股份有限公司;600017.SH;480,431.63
锦州港股份有限公司;600190.SH;453,149.62
营口港务股份有限公司;600317.SH;381,830.30
深圳赤湾港航股份有限公司;000022.SZ;245,621.88
珠海港股份有限公司;000507.SZ;186,063.64
江苏连云港港口股份有限公司;601008.SH;127,317.26
南京港股份有限公司;002040.SZ;67,783.62
深圳市盐田港股份有限公司;000088.SZ;34,377.89
