公司名称;股票代码;营业总收入(万元)
中国神华能源股份有限公司;601088.SH;24,874,600.00
大唐国际发电股份有限公司;601991.SH;6,460,775.50
淄博齐翔腾达化工股份有限公司;002408.SZ;2,222,619.70
苏州天沃科技股份有限公司;002564.SZ;1,040,368.36
广汇能源股份有限公司;600256.SH;813,745.64
中煤新集能源股份有限公司;601918.SH;746,747.58
杭州杭氧股份有限公司;002430.SZ;645,179.92
广东科达洁能股份有限公司;600499.SH;572,851.36
北京昊华能源股份有限公司;601101.SH;557,563.86
西安陕鼓动力股份有限公司;601369.SH;395,790.28
东华工程科技股份有限公司;002140.SZ;290,883.84
北京利尔高温材料股份有限公司;002392.SZ;227,720.07
北京万邦达环保技术股份有限公司;300055.SZ;207,124.64
山西蓝焰控股股份有限公司;000968.SZ;190,371.95
苏州海陆重工股份有限公司;002255.SZ;117,155.36
山东三维石化工程股份有限公司;002469.SZ;75,405.17
