公司名称;股票代码;营业总收入(万元)
河钢股份有限公司;000709.SZ;10,898,307.52
江苏中南建设集团股份有限公司;000961.SZ;3,055,232.75
杭州钢铁股份有限公司;600126.SH;2,785,581.29
新疆八一钢铁股份有限公司;600581.SH;1,675,685.36
方大特钢科技股份有限公司;600507.SH;1,394,474.96
重庆钢铁股份有限公司;601005.SH;1,323,684.00
大冶特殊钢股份有限公司;000708.SZ;1,022,706.96
西宁特殊钢股份有限公司;600117.SH;743,367.31
永兴特种不锈钢股份有限公司;002756.SZ;403,124.03
江苏常宝钢管股份有限公司;002478.SZ;349,440.63
浙江久立特材科技股份有限公司;002318.SZ;283,300.30
中原特钢股份有限公司;002423.SZ;97,292.59
江阴市恒润重工股份有限公司;603985.SH;74,067.09
北京钢研高纳科技股份有限公司;300034.SZ;67,491.01
辽宁福鞍重工股份有限公司;603315.SH;31,366.11
