公司名称;股票代码;营业总收入(万元)
中国人寿保险股份有限公司;601628.SH;65,319,500.00
国机汽车股份有限公司;600335.SH;5,024,013.97
天音通信控股股份有限公司;000829.SZ;3,962,772.66
东软集团股份有限公司;600718.SH;713,113.47
曙光信息产业股份有限公司;603019.SH;629,422.34
深圳市普路通供应链管理股份有限公司;002769.SZ;538,066.25
广州越秀金融控股集团股份有限公司;000987.SZ;532,638.87
上海大众公用事业(集团)股份有限公司;600635.SH;470,013.54
佳都新太科技股份有限公司;600728.SH;431,195.64
江苏华西村股份有限公司;000936.SZ;284,238.73
合肥城建发展股份有限公司;002208.SZ;275,191.93
恒生电子股份有限公司;600570.SH;266,612.14
河南安彩高科股份有限公司;600207.SH;198,392.59
东方网力科技股份有限公司;300367.SZ;185,472.29
安徽江南化工股份有限公司;002226.SZ;165,395.97
北京神州绿盟信息安全科技股份有限公司;300369.SZ;125,511.07
深圳市麦达数字股份有限公司;002137.SZ;93,596.54
苏州天华超净科技股份有限公司;300390.SZ;73,633.27
深圳市赢时胜信息技术股份有限公司;300377.SZ;53,701.80
神思电子技术股份有限公司;300479.SZ;35,568.53
宇环数控机床股份有限公司;002903.SZ;25,025.88
