公司名称;股票代码;营业总收入(万元)
珠海格力电器股份有限公司;000651.SZ;15,001,955.16
保利房地产(集团)股份有限公司;600048.SH;14,634,181.61
中国国际海运集装箱(集团)股份有限公司;000039.SZ;7,629,993.00
深圳市海王生物工程股份有限公司;000078.SZ;2,493,963.77
金发科技股份有限公司;600143.SH;2,313,737.79
深圳市中金岭南有色金属股份有限公司;000060.SZ;1,901,563.09
深圳市德赛电池科技股份有限公司;000049.SZ;1,248,597.56
大族激光科技产业集团股份有限公司;002008.SZ;1,156,009.35
中国南玻集团股份有限公司;000012.SZ;1,087,940.07
深圳华强实业股份有限公司;000062.SZ;829,788.09
中国宝安集团股份有限公司;000009.SZ;707,080.24
广州市广百股份有限公司;002187.SZ;688,954.13
广州白云国际机场股份有限公司;600004.SH;676,155.09
深圳市天健(集团)股份有限公司;000090.SZ;674,959.36
广东水电二局股份有限公司;002060.SZ;663,045.55
中航地产股份有限公司;000043.SZ;589,349.40
深圳市科陆电子科技股份有限公司;002121.SZ;437,602.58
广州珠江实业开发股份有限公司;600684.SH;423,985.41
广东德豪润达电气股份有限公司;002005.SZ;420,295.70
广东新会美达锦纶股份有限公司;000782.SZ;355,871.24
深圳市机场股份有限公司;000089.SZ;332,080.79
深圳市沃尔核材股份有限公司;002130.SZ;257,967.65
佛山佛塑科技集团股份有限公司;000973.SZ;251,177.22
深圳市芭田生态工程股份有限公司;002170.SZ;206,684.61
广州智光电气股份有限公司;002169.SZ;183,131.72
深圳市证通电子股份有限公司;002197.SZ;168,259.32
深圳市拓日新能源科技股份有限公司;002218.SZ;151,486.20
东信和平科技股份有限公司;002017.SZ;118,981.00
深圳市麦达数字股份有限公司;002137.SZ;93,596.54
深圳中恒华发股份有限公司;000020.SZ;85,804.01
