公司名称;股票代码;营业总收入(万元)
北京东方园林环境股份有限公司;002310.SZ;1,522,610.17
北京碧水源科技股份有限公司;300070.SZ;1,376,728.61
格林美股份有限公司;002340.SZ;1,075,214.30
启迪桑德环境资源股份有限公司;000826.SZ;935,838.47
深圳市铁汉生态环境股份有限公司;300197.SZ;818,779.03
内蒙古蒙草生态环境(集团)股份有限公司;300355.SZ;557,888.80
盈峰环境科技集团股份有限公司;000967.SZ;489,838.90
瀚蓝环境股份有限公司;600323.SH;420,208.07
南方中金环境股份有限公司;300145.SZ;381,465.34
浙江菲达环保科技股份有限公司;600526.SH;380,511.79
成都市兴蓉环境股份有限公司;000598.SZ;373,133.89
国家电投集团远达环保股份有限公司;600292.SH;327,682.63
东江环保股份有限公司;002672.SZ;309,965.86
北京高能时代环境技术股份有限公司;603588.SH;230,524.01
华测检测认证集团股份有限公司;300012.SZ;211,823.05
广东长青(集团)股份有限公司;002616.SZ;189,268.17
江苏润邦重工股份有限公司;002483.SZ;184,293.99
双良节能系统股份有限公司;600481.SH;171,835.60
中国天楹股份有限公司;000035.SZ;161,181.41
广西博世科环保科技股份有限公司;300422.SZ;146,854.58
江苏维尔利环保科技股份有限公司;300190.SZ;141,776.54
北京合康新能科技股份有限公司;300048.SZ;135,092.84
厦门三维丝环保股份有限公司;300056.SZ;130,910.35
广西丰林木业集团股份有限公司;601996.SH;130,169.00
江苏华宏科技股份有限公司;002645.SZ;129,994.30
大禹节水集团股份有限公司;300021.SZ;128,442.37
福建省永安林业(集团)股份有限公司;000663.SZ;124,003.41
永清环保股份有限公司;300187.SZ;122,893.90
上海亚通股份有限公司;600692.SH;121,383.60
四川升达林业产业股份有限公司;002259.SZ;117,774.28
