公司名称;股票代码;营业总收入(万元)
洛阳栾川钼业集团股份有限公司;603993.SH;2,414,755.78
牧原食品股份有限公司;002714.SZ;1,004,241.59
贵州信邦制药股份有限公司;002390.SZ;600,247.10
河南华英农业发展股份有限公司;002321.SZ;412,192.59
赤峰吉隆黄金矿业股份有限公司;600988.SH;258,700.86
湖南景峰医药股份有限公司;000908.SZ;258,365.23
四川广安爱众股份有限公司;600979.SH;206,722.69
云南罗平锌电股份有限公司;002114.SZ;161,875.80
青海互助青稞酒股份有限公司;002646.SZ;131,836.20
河南科迪乳业股份有限公司;002770.SZ;123,870.77
重庆三峡水利电力(集团)股份有限公司;600116.SH;121,762.25
四川岷江水利电力股份有限公司;600131.SH;82,158.42
昆明川金诺化工股份有限公司;300505.SZ;79,981.36
山西同德化工股份有限公司;002360.SZ;70,971.64
西藏高争民爆股份有限公司;002827.SZ;45,038.64
西藏易明西雅医药科技股份有限公司;002826.SZ;38,029.26
甘肃陇神戎发药业股份有限公司;300534.SZ;26,958.70
云南景谷林业股份有限公司;600265.SH;6,597.36
