公司名称;股票代码;营业总收入(万元)
北京碧水源科技股份有限公司;300070.SZ;1,376,728.61
广东科达洁能股份有限公司;600499.SH;572,851.36
江苏双星彩塑新材料股份有限公司;002585.SZ;302,295.52
北京万邦达环保技术股份有限公司;300055.SZ;207,124.64
深圳市新纶科技股份有限公司;002341.SZ;206,442.45
四川东材科技集团股份有限公司;601208.SH;173,407.96
广东正业科技股份有限公司;300410.SZ;126,537.89
南方汇通股份有限公司;000920.SZ;108,284.08
洛阳隆华传热节能股份有限公司;300263.SZ;106,832.32
浙江大东南股份有限公司;002263.SZ;104,851.57
江苏综艺股份有限公司;600770.SH;75,262.26
吉林省金冠电气股份有限公司;300510.SZ;74,131.45
天津膜天膜科技股份有限公司;300334.SZ;63,311.73
华自科技股份有限公司;300490.SZ;62,110.62
广东金明精机股份有限公司;300281.SZ;41,448.05
深圳市惠程电气股份有限公司;002168.SZ;37,317.27
深圳丹邦科技股份有限公司;002618.SZ;31,715.85
