公司名称;股票代码;营业总收入(万元)
山西太钢不锈钢股份有限公司;000825.SZ;6,778,978.10
航天信息股份有限公司;600271.SH;2,975,449.12
际华集团股份有限公司;601718.SH;2,543,998.98
宝胜科技创新股份有限公司;600973.SH;2,069,116.40
中航沈飞股份有限公司;600760.SH;1,945,927.81
航天时代电子技术股份有限公司;600879.SH;1,305,428.73
航天通信控股集团股份有限公司;600677.SH;1,019,558.56
中国东方红卫星股份有限公司;600118.SH;738,523.31
上海航天汽车机电股份有限公司;600151.SH;665,714.61
航天科技控股集团股份有限公司;000901.SZ;580,199.30
中航重机股份有限公司;600765.SH;566,256.54
安徽四创电子股份有限公司;600990.SH;505,684.26
华昌达智能装备集团股份有限公司;300278.SZ;296,602.68
长发集团长江投资实业股份有限公司;600119.SH;284,089.47
航天晨光股份有限公司;600501.SH;263,602.46
贵州航天电器股份有限公司;002025.SZ;261,212.73
中国航发动力控制股份有限公司;000738.SZ;255,346.25
航天工业发展股份有限公司;000547.SZ;234,993.28
浙江海翔药业股份有限公司;002099.SZ;230,892.22
北京合众思壮科技股份有限公司;002383.SZ;228,770.37
深圳金信诺高新技术股份有限公司;300252.SZ;228,646.70
北京北斗星通导航技术股份有限公司;002151.SZ;220,426.71
福建火炬电子科技股份有限公司;603678.SH;188,813.30
新疆机械研究院股份有限公司;300159.SZ;185,383.18
陕西航天动力高科技股份有限公司;600343.SH;184,053.48
江苏宝利国际投资股份有限公司;300135.SZ;179,977.94
河南通达电缆股份有限公司;002560.SZ;166,420.92
烟台泰和新材料股份有限公司;002254.SZ;155,490.10
江苏通光电子线缆股份有限公司;300265.SZ;151,646.61
北京航天长峰股份有限公司;600855.SH;150,404.22
