公司名称;股票代码;营业总收入(万元)
中国中铁股份有限公司;601390.SH;69,336,650.70
中国铁建股份有限公司;601186.SH;68,098,112.70
中国电力建设股份有限公司;601669.SH;26,681,989.56
万科企业股份有限公司;000002.SZ;24,289,711.03
中国中车股份有限公司;601766.SH;21,101,256.00
上海电气集团股份有限公司;601727.SH;7,954,379.40
上海隧道工程股份有限公司;600820.SH;3,152,643.77
国电南瑞科技股份有限公司;600406.SH;2,419,790.81
中铁高新工业股份有限公司;600528.SH;1,588,558.61
内蒙古第一机械集团股份有限公司;600967.SH;1,196,745.80
株洲时代新材料科技股份有限公司;600458.SH;1,139,961.26
北京东方雨虹防水技术股份有限公司;002271.SZ;1,029,296.54
卧龙电气集团股份有限公司;600580.SH;1,008,603.67
北方国际合作股份有限公司;000065.SZ;973,003.16
宏润建设集团股份有限公司;002062.SZ;812,724.73
太原重工股份有限公司;600169.SH;717,709.67
深圳市天健(集团)股份有限公司;000090.SZ;674,959.36
广东水电二局股份有限公司;002060.SZ;663,045.55
苏交科集团股份有限公司;300284.SZ;651,902.86
国电南京自动化股份有限公司;600268.SH;607,837.74
海能达通信股份有限公司;002583.SZ;535,153.23
青岛特锐德电气股份有限公司;300001.SZ;510,499.77
盈峰环境科技集团股份有限公司;000967.SZ;489,838.90
深圳市汇川技术股份有限公司;300124.SZ;477,729.57
佳都新太科技股份有限公司;600728.SH;431,195.64
南京熊猫电子股份有限公司;600775.SH;419,192.89
上海加冷松芝汽车空调股份有限公司;002454.SZ;417,246.22
河南森源电气股份有限公司;002358.SZ;355,147.15
康力电梯股份有限公司;002367.SZ;327,993.50
浙大网新科技股份有限公司;600797.SH;325,321.06
