公司名称;股票代码;营业总收入(万元)
江西铜业股份有限公司;600362.SH;20,504,685.48
紫金矿业集团股份有限公司;601899.SH;9,454,861.91
铜陵有色金属集团股份有限公司;000630.SZ;8,243,025.13
云南铜业股份有限公司;000878.SZ;5,732,273.98
白银有色集团股份有限公司;601212.SH;5,663,427.69
浙江海亮股份有限公司;002203.SZ;2,991,339.57
西部矿业股份有限公司;601168.SH;2,737,729.29
郴州市金贵银业股份有限公司;002716.SZ;1,130,176.61
安徽楚江科技新材料股份有限公司;002171.SZ;1,104,402.50
宁波博威合金材料股份有限公司;601137.SH;575,780.11
广东精艺金属股份有限公司;002295.SZ;545,150.17
河北宣化工程机械股份有限公司;000923.SZ;540,118.46
安徽梦舟实业股份有限公司;600255.SH;537,516.87
吉林吉恩镍业股份有限公司;600432.SH;313,002.57
民盛金科控股股份有限公司;002647.SZ;95,347.37
四川西部资源控股股份有限公司;600139.SH;28,701.37
