公司名称;股票代码;营业总收入(万元)
紫光股份有限公司;000938.SZ;3,907,104.09
江苏长电科技股份有限公司;600584.SH;2,385,551.24
纳思达股份有限公司;002180.SZ;2,132,393.85
无锡市太极实业股份有限公司;600667.SH;1,203,381.94
三安光电股份有限公司;600703.SH;839,372.58
天水华天科技股份有限公司;002185.SZ;700,988.71
通富微电子股份有限公司;002156.SZ;651,925.52
安徽四创电子股份有限公司;600990.SH;505,684.26
大唐电信科技股份有限公司;600198.SH;434,768.85
有研新材料股份有限公司;600206.SH;407,962.06
深圳市兴森快捷电路科技股份有限公司;002436.SZ;328,296.48
杭州士兰微电子股份有限公司;600460.SH;274,179.18
北方华创科技集团股份有限公司;002371.SZ;222,281.85
北京北斗星通导航技术股份有限公司;002151.SZ;220,426.71
北京兆易创新科技股份有限公司;603986.SH;202,970.88
广东世运电路科技股份有限公司;603920.SH;195,720.59
苏州固锝电子股份有限公司;002079.SZ;185,459.15
上海润欣科技股份有限公司;300493.SZ;182,951.01
紫光国芯股份有限公司;002049.SZ;182,909.57
博敏电子股份有限公司;603936.SH;175,987.95
吉林华微电子股份有限公司;600360.SH;163,489.03
扬州扬杰电子科技股份有限公司;300373.SZ;146,950.84
广东超华科技股份有限公司;002288.SZ;143,860.23
江苏大港股份有限公司;002077.SZ;131,068.66
宁波康强电子股份有限公司;002119.SZ;130,361.81
珠海全志科技股份有限公司;300458.SZ;120,095.05
天津长荣科技集团股份有限公司;300195.SZ;112,976.56
广东骏亚电子科技股份有限公司;603386.SH;98,845.55
上海飞凯光电材料股份有限公司;300398.SZ;82,036.76
珠海欧比特宇航科技股份有限公司;300053.SZ;73,885.14
