公司名称;股票代码;营业总收入(万元)
东方电气股份有限公司;600875.SH;3,083,023.04
新疆金风科技股份有限公司;002202.SZ;2,512,945.60
株洲时代新材料科技股份有限公司;600458.SH;1,139,961.26
中材科技股份有限公司;002080.SZ;1,026,781.92
湘潭电机股份有限公司;600416.SH;970,597.00
福建福能股份有限公司;600483.SH;679,949.45
大连华锐重工集团股份有限公司;002204.SZ;643,424.61
天顺风能(苏州)股份有限公司;002531.SZ;323,834.67
通裕重工股份有限公司;300185.SZ;317,068.13
国家电投集团东方新能源股份有限公司;000958.SZ;252,413.12
华仪电气股份有限公司;600290.SH;217,804.04
天津鑫茂科技股份有限公司;000836.SZ;205,656.57
兰州长城电工股份有限公司;600192.SH;190,434.90
甘肃电投能源发展股份有限公司;000791.SZ;190,314.57
中节能风力发电股份有限公司;601016.SH;187,144.92
上海泰胜风能装备股份有限公司;300129.SZ;159,000.02
哈尔滨九洲电气股份有限公司;300040.SZ;142,821.47
江苏吉鑫风能科技股份有限公司;601218.SH;134,892.50
江苏九鼎新材料股份有限公司;002201.SZ;99,421.61
宁夏银星能源股份有限公司;000862.SZ;93,504.16
宁夏嘉泽新能源股份有限公司;601619.SH;83,169.44
常州天晟新材料股份有限公司;300169.SZ;77,233.65
青岛天能重工股份有限公司;300569.SZ;73,800.59
山东莱芜金雷风电科技股份有限公司;300443.SZ;59,628.16
山东双一科技股份有限公司;300690.SZ;59,469.61
华锐风电科技(集团)股份有限公司;601558.SH;14,069.09
